"Data";"Hora";"Categoria";"ProdID";"Marca";"Produto";"Preco";"PVPR";"Desconto_Pct";"Poupanca_Euro";"Destaque";"Stock";"URL"
"2026-04-06";"11:55:06";"Chupetas";"8591263";"Philips Avent";"Pack Ultra Soft Girl 0-6M";"12,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-soft-girl-0-6m-8591263.html"
"2026-04-06";"11:55:06";"Chupetas";"8586177";"Philips Avent";"Pack Soothie Boy 0-6M";"12,99";;;;"";"Disponivel";"https://wells.pt/pack-soothie-boy-0-6m-8586177.html"
"2026-04-06";"11:55:06";"Chupetas";"8591396";"Philips Avent";"Pack Ultra Air Nighttime Boy 18M+";"11,99";;;;"";"Disponivel";"https://wells.pt/pack-ultra-air-nighttime-boy-18m-8591396.html"
"2026-04-06";"11:55:06";"Chupetas";"8585910";"Philips Avent";"Pack Ultra Start Boy Lisa 0-2M";"10,99";;;;"";"Disponivel";"https://wells.pt/pack-ultra-start-boy-lisa-0-2m-8585910.html"
"2026-04-06";"11:55:06";"Chupetas";"7995144";"Dr. Browns";"Pack Chuchas de Silicone +0M Azul e Verde";"7,19";"7,99";"10";"0,80";"";"Disponivel";"https://wells.pt/pack-chuchas-de-silicone-0m-azul-e-verde-7995144.html"
"2026-04-06";"11:55:06";"Chupetas";"8624796";"Philips Avent";"Pack Ultra Air Day and Night 0-6M";"13,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-day-and-night-0-6m-8624796.html"
"2026-04-06";"11:55:06";"Chupetas";"8590998";"Philips Avent";"Pack Ultra Air Nighttime Boy 0-6M";"11,99";;;;"";"Disponivel";"https://wells.pt/pack-ultra-air-nighttime-boy-0-6m-8590998.html"
"2026-04-06";"11:55:06";"Chupetas";"8591262";"Philips Avent";"Pack Ultra Soft Boy 0-6M";"12,99";;;;"";"Disponivel";"https://wells.pt/pack-ultra-soft-boy-0-6m-8591262.html"
"2026-04-06";"11:55:06";"Chupetas";"8591384";"Philips Avent";"Pack Ultra Air Nighttime Boy 6-18M";"11,99";;;;"";"Disponivel";"https://wells.pt/pack-ultra-air-nighttime-boy-6-18m-8591384.html"
"2026-04-06";"11:55:06";"Chupetas";"8586181";"Philips Avent";"Pack Ultra Air Boy 0-6M";"10,99";;;;"";"Sem Stock";"https://wells.pt/pack-ultra-air-boy-0-6m-8586181.html"
